"LIBRARYREFERENCE","FOOTPRINT1","BUILT_BY","COMMENT","COPYRIGHT","MANUFACTURER_PART_NUMBER","REFDES","TYPE","VALUE","VENDOR","SHEETPART","DESIGNATOR","DESCRIPTION"
"STM32G431C6Tx","LQFP48-7x7mm","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_lqfp48_t1","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 32Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431C6Ux","UFQFPN-48_7X7X0P","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_ufqfpn48_t3","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 32Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431C8Tx","LQFP48-7x7mm","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_lqfp48_t1","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 64Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431C8Ux","UFQFPN-48_7X7X0P","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_ufqfpn48_t3","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 64Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431CBTx","LQFP48-7x7mm","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_lqfp48_t1","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 128Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431CBUx","UFQFPN-48_7X7X0P","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_ufqfpn48_t3","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 128Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431CBYx","WLCSP49","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_wlcsp49_t1","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 128Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431K6Tx","LQFP-32","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_lqfp32_t1","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 32Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431K6Ux","UFQFPN-32","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_ufqfpn32_t1","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 32Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
"STM32G431K8Tx","LQFP-32","EMA_Jessica","","Copyright (C) 2016 Accelerated Designs. All rights reserved","stm32g4_lqfp32_t1","RefDes","DEV","Value","STMicroelectronics","*","U?","Mainstream Arm Cortex-M4 core with DSP and FPU, 170MHz with 64Kbytes of Flash memory, Math Accelerator, Medium Analog level integration"
